Graph A: 40 vertices, 250 edges
Edge thresholds: edges < 230 or edges > 270

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        40        252       330            IN_RANGE       
B2        40        254       324            IN_RANGE       
B3        40        259       343            IN_RANGE       
B4        40        263       361            IN_RANGE       
B5        40        256       338            IN_RANGE       
B6        40        252       348            IN_RANGE       
B7        40        257       335            IN_RANGE       
B8        40        257       331            IN_RANGE       
B9        40        269       343            IN_RANGE       
B10       40        251       345            IN_RANGE       
B11       40        259       357            IN_RANGE       
B12       40        265       345            IN_RANGE       
B13       40        250       326            IN_RANGE       
B14       40        256       330            IN_RANGE       
B15       40        254       344            IN_RANGE       
B16       40        262       342            IN_RANGE       
B17       40        266       358            IN_RANGE       
B18       40        252       340            IN_RANGE       
B19       40        257       343            IN_RANGE       
B20       40        251       341            IN_RANGE       
B21       40        250       332            IN_RANGE       
B22       40        260       346            IN_RANGE       
B23       40        243       361            IN_RANGE       
B24       40        251       331            IN_RANGE       
B25       40        261       333            IN_RANGE       
B26       40        248       330            IN_RANGE       
B27       40        261       345            IN_RANGE       
B28       40        263       351            IN_RANGE       
B29       40        251       357            IN_RANGE       
B30       40        262       342            IN_RANGE       
B31       40        269       369            IN_RANGE       
B32       40        247       347            IN_RANGE       
B33       40        268       340            IN_RANGE       
B34       40        257       353            IN_RANGE       
B35       40        250       326            IN_RANGE       
B36       40        260       338            IN_RANGE       
B37       40        248       350            IN_RANGE       
B38       40        259       339            IN_RANGE       
B39       40        257       349            IN_RANGE       
B40       40        263       351            IN_RANGE       
B41       40        252       350            IN_RANGE       
B42       40        245       343            IN_RANGE       
B43       40        263       345            IN_RANGE       
B44       40        247       327            IN_RANGE       
B45       40        256       336            IN_RANGE       
B46       40        242       338            IN_RANGE       
B47       40        271       355            ABOVE          
B48       40        259       323            IN_RANGE       
B49       40        243       331            IN_RANGE       
B50       40        263       333            IN_RANGE       
B51       40        249       329            IN_RANGE       
B52       40        245       359            IN_RANGE       
B53       40        256       352            IN_RANGE       
B54       40        264       336            IN_RANGE       
B55       40        247       353            IN_RANGE       
B56       40        254       340            IN_RANGE       
B57       40        238       370            IN_RANGE       
B58       40        259       357            IN_RANGE       
B59       40        256       354            IN_RANGE       
B60       40        254       322            IN_RANGE       
B61       40        249       355            IN_RANGE       
B62       40        250       334            IN_RANGE       
B63       40        267       345            IN_RANGE       
B64       40        253       331            IN_RANGE       
B65       40        263       371            IN_RANGE       
B66       40        254       358            IN_RANGE       
B67       40        257       341            IN_RANGE       
B68       40        254       320            IN_RANGE       
B69       40        250       354            IN_RANGE       
B70       40        261       337            IN_RANGE       
B71       40        258       350            IN_RANGE       
B72       40        260       348            IN_RANGE       
B73       40        252       322            IN_RANGE       
B74       40        274       348            ABOVE          
