Graph A: 100 vertices, 1536 edges
Edge thresholds: edges < 1486 or edges > 1586

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        100       1603      2139           ABOVE          
B2        100       1586      2150           IN_RANGE       
B3        100       1686      2158           ABOVE          
B4        100       1593      2157           ABOVE          
B5        100       1637      2157           ABOVE          
B6        100       1609      2159           ABOVE          
B7        100       1608      2176           ABOVE          
B8        100       1621      2141           ABOVE          
B9        100       1602      2182           ABOVE          
B10       100       1643      2161           ABOVE          
B11       100       1577      2113           IN_RANGE       
B12       100       1587      2129           ABOVE          
B13       100       1667      2197           ABOVE          
B14       100       1579      2099           IN_RANGE       
B15       100       1625      2155           ABOVE          
B16       100       1599      2157           ABOVE          
B17       100       1606      2170           ABOVE          
B18       100       1634      2080           ABOVE          
B19       100       1658      2116           ABOVE          
B20       100       1627      2133           ABOVE          
B21       100       1581      2123           IN_RANGE       
B22       100       1567      2177           IN_RANGE       
B23       100       1590      2104           ABOVE          
B24       100       1592      2188           ABOVE          
B25       100       1643      2191           ABOVE          
B26       100       1569      2103           IN_RANGE       
B27       100       1637      2171           ABOVE          
B28       100       1598      2154           ABOVE          
B29       100       1588      2170           ABOVE          
B30       100       1584      2124           IN_RANGE       
B31       100       1592      2162           ABOVE          
B32       100       1597      2167           ABOVE          
B33       100       1618      2158           ABOVE          
B34       100       1636      2144           ABOVE          
B35       100       1607      2121           ABOVE          
B36       100       1625      2167           ABOVE          
B37       100       1592      2064           ABOVE          
B38       100       1634      2178           ABOVE          
B39       100       1656      2172           ABOVE          
B40       100       1572      2126           IN_RANGE       
B41       100       1613      2119           ABOVE          
B42       100       1647      2149           ABOVE          
B43       100       1621      2137           ABOVE          
B44       100       1622      2104           ABOVE          
B45       100       1615      2113           ABOVE          
B46       100       1614      2134           ABOVE          
B47       100       1666      2162           ABOVE          
B48       100       1568      2186           IN_RANGE       
B49       100       1593      2175           ABOVE          
B50       100       1614      2130           ABOVE          
B51       100       1677      2155           ABOVE          
B52       100       1637      2163           ABOVE          
B53       100       1632      2110           ABOVE          
B54       100       1600      2122           ABOVE          
B55       100       1653      2145           ABOVE          
B56       100       1596      2112           ABOVE          
B57       100       1562      2148           IN_RANGE       
B58       100       1643      2125           ABOVE          
B59       100       1639      2143           ABOVE          
B60       100       1609      2133           ABOVE          
B61       100       1609      2127           ABOVE          
B62       100       1626      2198           ABOVE          
B63       100       1624      2142           ABOVE          
B64       100       1597      2159           ABOVE          
B65       100       1637      2139           ABOVE          
B66       100       1621      2151           ABOVE          
B67       100       1586      2102           IN_RANGE       
B68       100       1594      2102           ABOVE          
B69       100       1644      2208           ABOVE          
B70       100       1611      2153           ABOVE          
B71       100       1584      2134           IN_RANGE       
B72       100       1595      2133           ABOVE          
B73       100       1633      2131           ABOVE          
B74       100       1558      2120           IN_RANGE       
