Graph A: 10 vertices, 9 edges
Edge thresholds: edges < 4 or edges > 14

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        10        8         17             IN_RANGE       
B2        10        9         18             IN_RANGE       
B3        10        12        19             IN_RANGE       
B4        10        9         12             IN_RANGE       
B5        10        9         16             IN_RANGE       
B6        10        9         16             IN_RANGE       
B7        10        11        14             IN_RANGE       
B8        10        9         18             IN_RANGE       
B9        10        11        16             IN_RANGE       
B10       10        12        19             IN_RANGE       
B11       10        14        19             IN_RANGE       
B12       10        10        13             IN_RANGE       
B13       10        9         14             IN_RANGE       
B14       10        8         15             IN_RANGE       
B15       10        9         14             IN_RANGE       
B16       10        13        16             IN_RANGE       
B17       10        10        17             IN_RANGE       
B18       10        8         15             IN_RANGE       
B19       10        12        13             IN_RANGE       
B20       10        9         14             IN_RANGE       
B21       10        9         12             IN_RANGE       
B22       10        11        16             IN_RANGE       
B23       10        10        17             IN_RANGE       
B24       10        11        18             IN_RANGE       
B25       10        9         14             IN_RANGE       
B26       10        9         18             IN_RANGE       
B27       10        8         17             IN_RANGE       
B28       10        10        17             IN_RANGE       
B29       10        8         17             IN_RANGE       
B30       10        8         13             IN_RANGE       
B31       10        11        18             IN_RANGE       
B32       10        9         12             IN_RANGE       
B33       10        10        15             IN_RANGE       
B34       10        12        17             IN_RANGE       
B35       10        11        16             IN_RANGE       
B36       10        10        19             IN_RANGE       
B37       10        11        16             IN_RANGE       
B38       10        13        18             IN_RANGE       
B39       10        9         16             IN_RANGE       
B40       10        10        17             IN_RANGE       
B41       10        10        15             IN_RANGE       
B42       10        10        17             IN_RANGE       
B43       10        7         12             IN_RANGE       
B44       10        12        15             IN_RANGE       
B45       10        8         13             IN_RANGE       
B46       10        13        18             IN_RANGE       
B47       10        10        19             IN_RANGE       
B48       10        11        20             IN_RANGE       
B49       10        13        16             IN_RANGE       
B50       10        10        19             IN_RANGE       
B51       10        13        18             IN_RANGE       
B52       10        9         12             IN_RANGE       
B53       10        8         13             IN_RANGE       
B54       10        10        15             IN_RANGE       
