Graph A: 50 vertices, 918 edges
Edge thresholds: edges < 893 or edges > 943

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        50        723       541            BELOW          
B2        50        682       568            BELOW          
B3        50        682       564            BELOW          
B4        50        683       565            BELOW          
B5        50        709       555            BELOW          
B6        50        680       554            BELOW          
B7        50        709       551            BELOW          
B8        50        706       532            BELOW          
B9        50        704       556            BELOW          
B10       50        710       568            BELOW          
B11       50        704       560            BELOW          
B12       50        729       541            BELOW          
B13       50        708       554            BELOW          
B14       50        702       556            BELOW          
B15       50        723       543            BELOW          
B16       50        720       540            BELOW          
B17       50        709       551            BELOW          
B18       50        692       558            BELOW          
B19       50        706       556            BELOW          
B20       50        722       522            BELOW          
B21       50        706       544            BELOW          
B22       50        730       548            BELOW          
B23       50        697       559            BELOW          
B24       50        701       547            BELOW          
B25       50        710       534            BELOW          
B26       50        721       551            BELOW          
B27       50        695       553            BELOW          
B28       50        709       567            BELOW          
B29       50        709       541            BELOW          
B30       50        707       565            BELOW          
B31       50        705       549            BELOW          
B32       50        701       551            BELOW          
B33       50        691       569            BELOW          
B34       50        696       550            BELOW          
B35       50        701       565            BELOW          
B36       50        683       561            BELOW          
B37       50        715       541            BELOW          
B38       50        716       528            BELOW          
B39       50        717       529            BELOW          
B40       50        714       558            BELOW          
B41       50        713       571            BELOW          
B42       50        680       564            BELOW          
B43       50        695       579            BELOW          
B44       50        725       541            BELOW          
B45       50        718       520            BELOW          
B46       50        705       549            BELOW          
B47       50        692       546            BELOW          
B48       50        697       557            BELOW          
B49       50        719       545            BELOW          
B50       50        713       549            BELOW          
B51       50        695       575            BELOW          
B52       50        708       572            BELOW          
B53       50        702       578            BELOW          
B54       50        684       572            BELOW          
B55       50        691       567            BELOW          
B56       50        726       526            BELOW          
B57       50        690       562            BELOW          
B58       50        710       554            BELOW          
B59       50        723       551            BELOW          
B60       50        724       552            BELOW          
B61       50        716       544            BELOW          
B62       50        725       531            BELOW          
B63       50        672       574            BELOW          
B64       50        724       542            BELOW          
B65       50        721       543            BELOW          
B66       50        702       554            BELOW          
B67       50        715       543            BELOW          
B68       50        699       547            BELOW          
B69       50        706       556            BELOW          
B70       50        706       560            BELOW          
B71       50        707       557            BELOW          
B72       50        695       555            BELOW          
B73       50        705       545            BELOW          
B74       50        706       528            BELOW          
B75       50        708       550            BELOW          
B76       50        687       555            BELOW          
B77       50        707       553            BELOW          
B78       50        713       551            BELOW          
B79       50        703       545            BELOW          
B80       50        707       543            BELOW          
B81       50        701       539            BELOW          
B82       50        695       575            BELOW          
B83       50        703       563            BELOW          
B84       50        706       572            BELOW          
B85       50        694       558            BELOW          
