Graph A: 30 vertices, 130 edges
Edge thresholds: edges < 115 or edges > 145

Graph     Nodes     Edges     GED            EdgeStatus     
B180      30        138       198            IN_RANGE       
B181      30        129       173            IN_RANGE       
B182      30        136       192            IN_RANGE       
B183      30        136       178            IN_RANGE       
B184      30        142       192            IN_RANGE       
B185      30        159       199            ABOVE          
B186      30        144       186            IN_RANGE       
B187      30        136       192            IN_RANGE       
B188      30        163       201            ABOVE          
B189      30        127       173            IN_RANGE       
B190      30        137       185            IN_RANGE       
B191      30        149       203            ABOVE          
B192      30        132       182            IN_RANGE       
B193      30        138       176            IN_RANGE       
B194      30        154       188            ABOVE          
B195      30        148       170            ABOVE          
B196      30        159       207            ABOVE          
B197      30        125       185            IN_RANGE       
B198      30        138       182            IN_RANGE       
B199      30        142       186            IN_RANGE       
B200      30        132       168            IN_RANGE       
B201      30        138       198            IN_RANGE       
B202      30        148       190            ABOVE          
B203      30        133       179            IN_RANGE       
B204      30        137       175            IN_RANGE       
B205      30        143       185            IN_RANGE       
B206      30        117       187            IN_RANGE       
B207      30        130       180            IN_RANGE       
B208      30        142       186            IN_RANGE       
B209      30        147       179            ABOVE          
B210      30        123       177            IN_RANGE       
B211      30        146       196            ABOVE          
B212      30        132       176            IN_RANGE       
B213      30        143       195            IN_RANGE       
B214      30        126       172            IN_RANGE       
B215      30        145       185            IN_RANGE       
B216      30        132       194            IN_RANGE       
B217      30        147       187            ABOVE          
B218      30        144       198            IN_RANGE       
B219      30        129       167            IN_RANGE       
B220      30        142       192            IN_RANGE       
B221      30        119       193            IN_RANGE       
B222      30        124       176            IN_RANGE       
B223      30        139       189            IN_RANGE       
B224      30        142       180            IN_RANGE       
B225      30        136       166            IN_RANGE       
B226      30        150       186            ABOVE          
B227      30        131       187            IN_RANGE       
B228      30        126       192            IN_RANGE       
B229      30        144       186            IN_RANGE       
B230      30        140       192            IN_RANGE       
B231      30        139       189            IN_RANGE       
B232      30        140       180            IN_RANGE       
B233      30        148       196            ABOVE          
B234      30        141       185            IN_RANGE       
B235      30        135       187            IN_RANGE       
B236      30        136       194            IN_RANGE       
B237      30        118       184            IN_RANGE       
B238      30        135       197            IN_RANGE       
B239      30        130       184            IN_RANGE       
B240      30        127       185            IN_RANGE       
B241      30        138       190            IN_RANGE       
B242      30        137       195            IN_RANGE       
B243      30        137       187            IN_RANGE       
B244      30        130       184            IN_RANGE       
B245      30        127       189            IN_RANGE       
B246      30        163       203            ABOVE          
B247      30        134       174            IN_RANGE       
B248      30        131       175            IN_RANGE       
B249      30        150       194            ABOVE          
B250      30        130       170            IN_RANGE       
B251      30        134       186            IN_RANGE       
B252      30        141       191            IN_RANGE       
B253      30        150       188            ABOVE          
B254      30        137       183            IN_RANGE       
B255      30        148       182            ABOVE          
B256      30        126       170            IN_RANGE       
B257      30        146       198            ABOVE          
B258      30        148       196            ABOVE          
B259      30        151       185            ABOVE          
B260      30        152       208            ABOVE          
B261      30        155       177            ABOVE          
B262      30        122       190            IN_RANGE       
B263      30        129       183            IN_RANGE       
B264      30        147       187            ABOVE          
B265      30        142       180            IN_RANGE       
B266      30        137       207            IN_RANGE       
B267      30        134       192            IN_RANGE       
B268      30        160       200            ABOVE          
B269      30        134       192            IN_RANGE       
B270      30        130       184            IN_RANGE       
B271      30        139       179            IN_RANGE       
B272      30        143       199            IN_RANGE       
B273      30        137       199            IN_RANGE       
B274      30        137       197            IN_RANGE       
B275      30        160       190            ABOVE          
B276      30        134       190            IN_RANGE       
B277      30        141       165            IN_RANGE       
B278      30        137       171            IN_RANGE       
B279      30        145       175            IN_RANGE       
B280      30        143       189            IN_RANGE       
B281      30        137       177            IN_RANGE       
B282      30        146       174            ABOVE          
B283      30        152       188            ABOVE          
B284      30        138       182            IN_RANGE       
B285      30        133       189            IN_RANGE       
B286      30        142       186            IN_RANGE       
B287      30        141       195            IN_RANGE       
B288      30        142       172            IN_RANGE       
B289      30        124       184            IN_RANGE       
B290      30        133       191            IN_RANGE       
B291      30        146       206            ABOVE          
B292      30        141       191            IN_RANGE       
B293      30        141       201            IN_RANGE       
B294      30        143       203            IN_RANGE       
B295      30        148       174            ABOVE          
B296      30        147       189            ABOVE          
B297      30        145       197            IN_RANGE       
B298      30        127       175            IN_RANGE       
B299      30        127       167            IN_RANGE       
B300      30        137       179            IN_RANGE       
B301      30        154       204            ABOVE          
B302      30        123       189            IN_RANGE       
B303      30        138       184            IN_RANGE       
B304      30        121       181            IN_RANGE       
B305      30        139       191            IN_RANGE       
B306      30        136       192            IN_RANGE       
B307      30        119       181            IN_RANGE       
B308      30        129       189            IN_RANGE       
B309      30        126       192            IN_RANGE       
B310      30        148       198            ABOVE          
B311      30        139       185            IN_RANGE       
B312      30        124       194            IN_RANGE       
B313      30        151       197            ABOVE          
B314      30        125       185            IN_RANGE       
B315      30        125       185            IN_RANGE       
B316      30        127       163            IN_RANGE       
B317      30        143       189            IN_RANGE       
B318      30        149       181            ABOVE          
B319      30        136       194            IN_RANGE       
B320      30        126       170            IN_RANGE       
B321      30        131       183            IN_RANGE       
B322      30        127       195            IN_RANGE       
B323      30        139       187            IN_RANGE       
B324      30        122       174            IN_RANGE       
B325      30        133       185            IN_RANGE       
B326      30        154       184            ABOVE          
B327      30        127       169            IN_RANGE       
B328      30        133       185            IN_RANGE       
B329      30        135       179            IN_RANGE       
B330      30        124       168            IN_RANGE       
B331      30        151       193            ABOVE          
B332      30        152       204            ABOVE          
B333      30        138       176            IN_RANGE       
B334      30        126       192            IN_RANGE       
B335      30        146       190            ABOVE          
B336      30        135       183            IN_RANGE       
B337      30        133       191            IN_RANGE       
B338      30        146       194            ABOVE          
B339      30        151       195            ABOVE          
B340      30        137       191            IN_RANGE       
B341      30        132       170            IN_RANGE       
B342      30        150       190            ABOVE          
B343      30        131       189            IN_RANGE       
B344      30        150       186            ABOVE          
B345      30        141       197            IN_RANGE       
B346      30        149       203            ABOVE          
B347      30        129       189            IN_RANGE       
B348      30        140       194            IN_RANGE       
B349      30        144       178            IN_RANGE       
B350      30        123       183            IN_RANGE       
B351      30        146       210            ABOVE          
B352      30        138       186            IN_RANGE       
B353      30        114       152            BELOW          
B354      30        141       185            IN_RANGE       
B355      30        132       172            IN_RANGE       
B356      30        162       214            ABOVE          
B357      30        140       198            IN_RANGE       
B358      30        146       190            ABOVE          
B359      30        133       169            IN_RANGE       
B360      30        120       182            IN_RANGE       
B361      30        152       196            ABOVE          
B362      30        148       198            ABOVE          
B363      30        138       190            IN_RANGE       
B364      30        151       181            ABOVE          
B365      30        138       180            IN_RANGE       
B366      30        126       192            IN_RANGE       
B367      30        138       194            IN_RANGE       
B368      30        122       166            IN_RANGE       
B369      30        134       182            IN_RANGE       
B370      30        132       184            IN_RANGE       
B371      30        152       202            ABOVE          
B372      30        140       188            IN_RANGE       
B373      30        138       180            IN_RANGE       
B374      30        146       180            ABOVE          
B375      30        141       185            IN_RANGE       
B376      30        136       192            IN_RANGE       
B377      30        141       181            IN_RANGE       
B378      30        147       181            ABOVE          
B379      30        138       184            IN_RANGE       
B380      30        141       185            IN_RANGE       
B381      30        138       190            IN_RANGE       
B382      30        128       190            IN_RANGE       
B383      30        137       191            IN_RANGE       
B384      30        143       187            IN_RANGE       
B385      30        145       187            IN_RANGE       
B386      30        137       181            IN_RANGE       
B387      30        138       188            IN_RANGE       
B388      30        145       181            IN_RANGE       
B389      30        139       191            IN_RANGE       
B390      30        134       178            IN_RANGE       
B391      30        138       184            IN_RANGE       
B392      30        151       187            ABOVE          
B393      30        131       199            IN_RANGE       
B394      30        144       190            IN_RANGE       
B395      30        125       165            IN_RANGE       
B396      30        127       181            IN_RANGE       
B397      30        141       189            IN_RANGE       
B398      30        153       197            ABOVE          
B399      30        137       187            IN_RANGE       
B400      30        137       189            IN_RANGE       
B401      30        134       198            IN_RANGE       
B402      30        147       203            ABOVE          
B403      30        125       193            IN_RANGE       
B404      30        138       192            IN_RANGE       
B405      30        130       176            IN_RANGE       
B406      30        132       184            IN_RANGE       
B407      30        122       158            IN_RANGE       
B408      30        126       184            IN_RANGE       
B409      30        154       208            ABOVE          
B410      30        141       203            IN_RANGE       
B411      30        148       184            ABOVE          
B412      30        141       201            IN_RANGE       
B413      30        149       203            ABOVE          
B414      30        126       176            IN_RANGE       
B415      30        143       177            IN_RANGE       
B416      30        145       189            IN_RANGE       
B417      30        158       194            ABOVE          
B418      30        146       176            ABOVE          
B419      30        145       205            IN_RANGE       
B420      30        130       178            IN_RANGE       
B421      30        129       167            IN_RANGE       
B422      30        140       196            IN_RANGE       
B423      30        135       173            IN_RANGE       
B424      30        148       198            ABOVE          
B425      30        151       179            ABOVE          
B426      30        142       182            IN_RANGE       
B427      30        149       205            ABOVE          
B428      30        137       193            IN_RANGE       
B429      30        120       184            IN_RANGE       
B430      30        123       171            IN_RANGE       
B431      30        149       187            ABOVE          
B432      30        147       199            ABOVE          
B433      30        136       194            IN_RANGE       
B434      30        136       184            IN_RANGE       
B435      30        134       196            IN_RANGE       
B436      30        117       169            IN_RANGE       
B437      30        142       188            IN_RANGE       
B438      30        152       192            ABOVE          
B439      30        135       183            IN_RANGE       
B440      30        138       194            IN_RANGE       
B441      30        159       203            ABOVE          
B442      30        139       187            IN_RANGE       
B443      30        133       191            IN_RANGE       
B444      30        144       188            IN_RANGE       
B445      30        152       194            ABOVE          
B446      30        138       180            IN_RANGE       
B447      30        138       188            IN_RANGE       
B448      30        156       192            ABOVE          
B449      30        133       177            IN_RANGE       
B450      30        145       179            IN_RANGE       
B451      30        123       161            IN_RANGE       
B452      30        145       205            IN_RANGE       
B453      30        149       203            ABOVE          
B454      30        149       183            ABOVE          
B455      30        137       199            IN_RANGE       
B456      30        143       197            IN_RANGE       
B457      30        165       201            ABOVE          
B458      30        129       177            IN_RANGE       
B459      30        141       177            IN_RANGE       
B460      30        148       212            ABOVE          
B461      30        133       177            IN_RANGE       
B462      30        143       169            IN_RANGE       
B463      30        136       188            IN_RANGE       
B464      30        143       189            IN_RANGE       
B465      30        153       205            ABOVE          
B466      30        139       195            IN_RANGE       
B467      30        134       186            IN_RANGE       
B468      30        135       191            IN_RANGE       
B469      30        141       185            IN_RANGE       
B470      30        118       160            IN_RANGE       
B471      30        137       179            IN_RANGE       
B472      30        138       180            IN_RANGE       
B473      30        125       175            IN_RANGE       
B474      30        142       180            IN_RANGE       
B475      30        144       190            IN_RANGE       
B476      30        141       193            IN_RANGE       
B477      30        156       198            ABOVE          
B478      30        137       189            IN_RANGE       
B479      30        148       196            ABOVE          
B480      30        129       195            IN_RANGE       
B481      30        131       193            IN_RANGE       
B482      30        143       171            IN_RANGE       
B483      30        148       204            ABOVE          
B484      30        148       180            ABOVE          
B485      30        141       197            IN_RANGE       
B486      30        127       187            IN_RANGE       
B487      30        125       171            IN_RANGE       
B488      30        132       174            IN_RANGE       
B489      30        135       177            IN_RANGE       
B490      30        126       178            IN_RANGE       
B491      30        151       185            ABOVE          
B492      30        142       190            IN_RANGE       
B493      30        132       196            IN_RANGE       
B494      30        130       196            IN_RANGE       
B495      30        154       184            ABOVE          
B496      30        135       183            IN_RANGE       
B497      30        142       180            IN_RANGE       
B498      30        133       191            IN_RANGE       
B499      30        130       198            IN_RANGE       
B500      30        135       185            IN_RANGE       

============================================================
STATISTICS (first 500 graphs from file B):
Graphs with GED <= 15: 0
Graphs with GED > 15: 500
Graphs with edges < 115: 2
Graphs with edges > 145: 129
Graphs with edges in range [115, 145]: 369
Graphs with different vertex count: 0
Total graphs processed: 500
