Graph A: 20 vertices, 20 edges
Edge thresholds: edges < 10 or edges > 30

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        20        23        35             IN_RANGE       
B2        20        26        40             IN_RANGE       
B3        20        21        35             IN_RANGE       
B4        20        23        41             IN_RANGE       
B5        20        21        25             IN_RANGE       
B6        20        25        41             IN_RANGE       
B7        20        23        37             IN_RANGE       
B8        20        21        33             IN_RANGE       
B9        20        23        37             IN_RANGE       
B10       20        23        35             IN_RANGE       
B11       20        21        33             IN_RANGE       
B12       20        23        33             IN_RANGE       
B13       20        23        39             IN_RANGE       
B14       20        24        40             IN_RANGE       
B15       20        22        40             IN_RANGE       
B16       20        21        37             IN_RANGE       
B17       20        20        26             IN_RANGE       
B18       20        25        37             IN_RANGE       
B19       20        22        36             IN_RANGE       
B20       20        22        34             IN_RANGE       
B21       20        22        36             IN_RANGE       
B22       20        23        41             IN_RANGE       
B23       20        23        37             IN_RANGE       
B24       20        21        33             IN_RANGE       
B25       20        21        39             IN_RANGE       
B26       20        23        31             IN_RANGE       
B27       20        25        39             IN_RANGE       
B28       20        23        31             IN_RANGE       
B29       20        22        26             IN_RANGE       
B30       20        24        42             IN_RANGE       
B31       20        24        40             IN_RANGE       
B32       20        21        35             IN_RANGE       
B33       20        21        37             IN_RANGE       
B34       20        23        39             IN_RANGE       
B35       20        24        40             IN_RANGE       
B36       20        21        39             IN_RANGE       
B37       20        23        39             IN_RANGE       
B38       20        21        25             IN_RANGE       
B39       20        21        37             IN_RANGE       
B40       20        24        40             IN_RANGE       
B41       20        23        39             IN_RANGE       
B42       20        24        36             IN_RANGE       
B43       20        22        38             IN_RANGE       
B44       20        21        29             IN_RANGE       
B45       20        22        34             IN_RANGE       
B46       20        24        38             IN_RANGE       
B47       20        21        31             IN_RANGE       
B48       20        22        36             IN_RANGE       
B49       20        24        36             IN_RANGE       
B50       20        25        41             IN_RANGE       
B51       20        23        37             IN_RANGE       
B52       20        20        22             IN_RANGE       
B53       20        25        37             IN_RANGE       
B54       20        23        41             IN_RANGE       
B55       20        25        41             IN_RANGE       
B56       20        22        32             IN_RANGE       
B57       20        22        36             IN_RANGE       
B58       20        22        38             IN_RANGE       
B59       20        24        38             IN_RANGE       
B60       20        21        33             IN_RANGE       
B61       20        22        36             IN_RANGE       
B62       20        22        38             IN_RANGE       
B63       20        22        26             IN_RANGE       
B64       20        23        39             IN_RANGE       
B65       20        22        38             IN_RANGE       
B66       20        25        33             IN_RANGE       
B67       20        22        38             IN_RANGE       
B68       20        23        39             IN_RANGE       
B69       20        22        34             IN_RANGE       
B70       20        22        36             IN_RANGE       
B71       20        22        38             IN_RANGE       
B72       20        25        37             IN_RANGE       
B73       20        22        38             IN_RANGE       
B74       20        24        40             IN_RANGE       
