Graph A: 50 vertices, 918 edges
Edge thresholds: edges < 893 or edges > 943

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        50        907       459            IN_RANGE       
B2        50        905       465            IN_RANGE       
B3        50        911       469            IN_RANGE       
B4        50        886       482            BELOW          
B5        50        939       459            IN_RANGE       
B6        50        928       448            IN_RANGE       
B7        50        906       468            IN_RANGE       
B8        50        879       489            BELOW          
B9        50        880       474            BELOW          
B10       50        896       482            IN_RANGE       
B11       50        913       457            IN_RANGE       
B12       50        912       432            IN_RANGE       
B13       50        902       470            IN_RANGE       
B14       50        900       462            IN_RANGE       
B15       50        883       503            BELOW          
B16       50        908       454            IN_RANGE       
B17       50        893       453            IN_RANGE       
B18       50        914       442            IN_RANGE       
B19       50        899       461            IN_RANGE       
B20       50        915       467            IN_RANGE       
B21       50        913       473            IN_RANGE       
B22       50        924       474            IN_RANGE       
B23       50        932       456            IN_RANGE       
B24       50        889       467            BELOW          
B25       50        913       453            IN_RANGE       
B26       50        927       483            IN_RANGE       
B27       50        886       456            BELOW          
B28       50        887       459            BELOW          
B29       50        914       464            IN_RANGE       
B30       50        892       464            BELOW          
B31       50        896       462            IN_RANGE       
B32       50        916       438            IN_RANGE       
B33       50        891       491            BELOW          
B34       50        909       443            IN_RANGE       
B35       50        898       494            IN_RANGE       
B36       50        906       470            IN_RANGE       
B37       50        894       484            IN_RANGE       
B38       50        912       458            IN_RANGE       
B39       50        901       469            IN_RANGE       
B40       50        906       460            IN_RANGE       
B41       50        895       487            IN_RANGE       
B42       50        918       450            IN_RANGE       
B43       50        915       469            IN_RANGE       
B44       50        904       476            IN_RANGE       
B45       50        898       482            IN_RANGE       
B46       50        915       467            IN_RANGE       
B47       50        886       470            BELOW          
B48       50        902       462            IN_RANGE       
B49       50        903       469            IN_RANGE       
B50       50        923       431            IN_RANGE       
B51       50        873       491            BELOW          
B52       50        908       472            IN_RANGE       
B53       50        893       443            IN_RANGE       
B54       50        915       461            IN_RANGE       
B55       50        918       458            IN_RANGE       
B56       50        920       442            IN_RANGE       
B57       50        915       489            IN_RANGE       
B58       50        927       445            IN_RANGE       
B59       50        901       463            IN_RANGE       
B60       50        923       459            IN_RANGE       
B61       50        899       479            IN_RANGE       
B62       50        907       463            IN_RANGE       
B63       50        925       443            IN_RANGE       
B64       50        873       475            BELOW          
B65       50        890       482            BELOW          
B66       50        893       459            IN_RANGE       
B67       50        913       445            IN_RANGE       
B68       50        893       473            IN_RANGE       
B69       50        895       477            IN_RANGE       
B70       50        919       453            IN_RANGE       
B71       50        903       463            IN_RANGE       
B72       50        893       471            IN_RANGE       
B73       50        892       478            BELOW          
B74       50        914       490            IN_RANGE       
B75       50        923       453            IN_RANGE       
B76       50        903       455            IN_RANGE       
B77       50        902       466            IN_RANGE       
B78       50        892       478            BELOW          
B79       50        885       471            BELOW          
B80       50        896       490            IN_RANGE       
B81       50        900       474            IN_RANGE       
B82       50        903       485            IN_RANGE       
B83       50        917       451            IN_RANGE       
B84       50        908       452            IN_RANGE       
B85       50        904       468            IN_RANGE       
B86       50        914       446            IN_RANGE       
B87       50        882       466            BELOW          
B88       50        903       461            IN_RANGE       
B89       50        920       456            IN_RANGE       
B90       50        911       467            IN_RANGE       
B91       50        888       468            BELOW          
B92       50        876       484            BELOW          
B93       50        901       477            IN_RANGE       
B94       50        928       448            IN_RANGE       
B95       50        913       473            IN_RANGE       
B96       50        898       472            IN_RANGE       
B97       50        917       451            IN_RANGE       
B98       50        920       464            IN_RANGE       
B99       50        899       443            IN_RANGE       
B100      50        903       467            IN_RANGE       
B101      50        908       490            IN_RANGE       
B102      50        896       496            IN_RANGE       
B103      50        901       467            IN_RANGE       
B104      50        910       464            IN_RANGE       
B105      50        907       457            IN_RANGE       
B106      50        912       472            IN_RANGE       
B107      50        909       465            IN_RANGE       
B108      50        910       454            IN_RANGE       
B109      50        887       471            BELOW          
B110      50        900       470            IN_RANGE       
B111      50        893       479            IN_RANGE       
B112      50        895       497            IN_RANGE       
B113      50        921       453            IN_RANGE       
B114      50        914       446            IN_RANGE       
B115      50        909       449            IN_RANGE       
B116      50        923       457            IN_RANGE       
B117      50        894       486            IN_RANGE       
B118      50        906       488            IN_RANGE       
B119      50        905       489            IN_RANGE       
B120      50        915       475            IN_RANGE       
B121      50        904       482            IN_RANGE       
B122      50        897       429            IN_RANGE       
B123      50        918       438            IN_RANGE       
B124      50        884       466            BELOW          
B125      50        903       467            IN_RANGE       
B126      50        875       475            BELOW          
B127      50        893       473            IN_RANGE       
B128      50        904       474            IN_RANGE       
B129      50        907       479            IN_RANGE       
B130      50        899       467            IN_RANGE       
B131      50        889       477            BELOW          
B132      50        899       477            IN_RANGE       
B133      50        908       462            IN_RANGE       
B134      50        879       479            BELOW          
B135      50        919       467            IN_RANGE       
B136      50        923       445            IN_RANGE       
B137      50        906       500            IN_RANGE       
B138      50        894       472            IN_RANGE       
B139      50        925       455            IN_RANGE       
B140      50        920       478            IN_RANGE       
B141      50        902       450            IN_RANGE       
B142      50        922       444            IN_RANGE       
B143      50        912       474            IN_RANGE       
B144      50        917       455            IN_RANGE       
B145      50        912       446            IN_RANGE       
B146      50        892       460            BELOW          
B147      50        916       440            IN_RANGE       
B148      50        920       430            IN_RANGE       
B149      50        898       444            IN_RANGE       
B150      50        896       468            IN_RANGE       
B151      50        899       485            IN_RANGE       
B152      50        905       471            IN_RANGE       
